,Status Number,Type,Class,Name,Min JT,years,Max JT,Years,Min Fine,Max Fine,Offense,DEG,DEG_NUM
52,53a-48,F,B,CONSPIRACY (FELONY-CLASS B),1,Y,20,Y,$0,"$15,000",FELONY-CLASS B,,
53,53a-55,F,B,MANSLAUGHTER 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
54,53a-59,F,B,ASSAULT 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
55,53a-59(a)(1),F,B,ASSAULT 1ST DEG-SERIOUS PHYSICAL INJRY,5,Y,20,Y,$0,"$15,000",,1ST ,1.0
56,53a-59(a)(1),F,B,ASSAULT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
57,53a-59(a)(2),F,B,ASSAULT 1ST DEG-DISFIGURE,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
58,53a-59(a)(2),F,B,ASSAULT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
59,53a-59(a)(3),F,B,ASSAULT 1ST DEG-EXREME INDIFF TO LIFE,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
60,53a-59(a)(3),F,B,ASSAULT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
61,53a-59(a)(4),F,B,ASSAULT 1ST DEG-AID BY OTHERS,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
62,53a-59(a)(4),F,B,ASSAULT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
63,53a-59(a)(5),F,B,ASSAULT 1ST-DISCHARGE FIREARM,1,Y,20,Y,$0,"$15,000",,,
64,53a-59(a)(5),F,B,ASSAULT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
65,53a-59a,F,B,ASSLT 1- VICTIM ELDERLY OR OTHER,5,Y,20,Y,$0,"$15,000",,,
66,53a-59b,F,B,ASSAULT DOC EMPLOYEE 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
67,53a-70,F,B,SEX ASSLT 1ST DEG-VICTIM<AGE 10,10,Y,20,Y,$0,"$15,000",,1ST ,1.0
68,53a-70(a)(2),F,B,SEX 1-VICTIM<13YR ACTOR>2Y OLDER,2,Y,20,Y,$0,"$15,000",,,
69,53a-70,F,B,SEXUAL ASSAULT 1ST DEG,2,Y,20,Y,$0,"$15,000",,1ST ,1.0
70,53a-70(a)(1),F,B,SEX 1-USE OR THREAT OF FORCE,2,Y,20,Y,$0,"$15,000",,,
71,53a-70(a)(3),F,B,SEX 1-SEX 2 W/AID OF OTHERS,2,Y,20,Y,$0,"$15,000",,,
72,53a-70(a)(3),F,B,"SEX 1-SEX 2 AIDED, VICTIM<10YRS",10,Y,20,Y,$0,"$15,000",,,
73,53a-70(a)(4),F,B,SEX 1-MENTALLY INCAPACITATED,2,Y,20,Y,$0,"$15,000",,,
74,53a-70(a)(4),F,B,SEX 1-VICTIM <10YRS MENTAL INCAP,10,Y,20,Y,$0,"$15,000",,,
75,53a-70a,F,B,SEXUAL ASSAULT 1ST DEG-AGGRVTD,5,Y,20,Y,$0,"$15,000",,1ST ,1.0
76,53a-70b,F,B,SEXUAL ASSAULT-SPOUSE/COHABIT,1,Y,20,Y,$0,"$15,000",,,
77,53a-71,F,B,"SEX ASSAULT 2ND DEG,VICTIM<16YRS",1,Y,20,Y,$0,"$15,000",,2ND ,2.0
78,53a-71(a)(1),F,B,"VIO 53A-71(A)(1), VICTIM<16YRS",1,Y,20,Y,$0,"$15,000",A,,
79,53a-71(a)(2),F,B,"SEX 2-UNABLE TO CONSENT,V<16YR",1,Y,20,Y,$0,"$15,000",,,
80,53a-71(a)(3),F,B,"SEX 2-PHYSICALLY HELPLESS,V<16",1,Y,20,Y,$0,"$15,000",,,
81,53a-71(a)(4),F,B,"SEX 2-VICTIM<16Y,ACTOR=GUARDIAN",1,Y,20,Y,$0,"$15,000",,,
82,53a-71(a)(5),F,B,SEX 2-ACTOR IN CHARGE OF V<16Y,1,Y,20,Y,$0,"$15,000",,,
83,53a-71(a)(6),F,B,"SEX 2-ACTOR=PSYCHOTHRPST,V<16Y",1,Y,20,Y,$0,"$15,000",,,
84,53a-71(a)(7),F,B,"SEX 2-FALSE REP OF MED PURPOSE,V<16YR",1,Y,20,Y,$0,"$15,000",,,
85,53a-71(a)(8),F,B,"SEX 2-V=STUDENT<16,ACTR=EMPLYE",1,Y,20,Y,$0,"$15,000",,,
86,53a-71(a)(9),F,B,"SEX 2-V=STUDENT<16Y,ACTR=COACH",1,Y,20,Y,$0,"$15,000",,,
87,53a-71(a)(9)(A),F,B,"SEX 2-V=STUDENT<16Y,ACTR=COACH",1,Y,20,Y,$0,"$15,000",,,
88,53a-71(a)(10),F,B,"SEX 2 ACTR IN POWER>19,VICTIM<16",1,Y,20,Y,$0,"$15,000",,,
89,53a-72b,F,B,"SEX ASSAULT 3RD-FIREARM,V<16YR",2,Y,20,Y,$0,"$15,000",,,
90,53a-86,F,B,PROMOTING PROSTITUTION 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
91,53a-86(a)(2),F,B,PROMOTE PROSTITUTION 1-VICTIM<16,1,Y,20,Y,$0,"$15,000",,,
92,53a-90aa,F,B,ENTICE A MINOR BY COMPUTER(SBS,1,Y,20,Y,$0,"$15,000",,,
93,53a-94,F,B,KIDNAP 2ND DEG,3,Y,20,Y,$0,"$15,000",,2ND ,2.0
94,53a-94a,F,B,KIDNAP 2ND DEG-FIREARM,5,Y,20,Y,$0,"$15,000",,2ND ,2.0
95,53a-101,F,B,BURGLARY 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
96,53a-101(a)(1),F,B,BURGLARY 1ST DEG-DEADLY WEAPON,5,Y,20,Y,$0,"$15,000",,1ST ,1.0
97,53a-101(a)(2),F,B,BURGLARY 1ST DEG-BODILY INJURY,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
98,53a-112,F,B,ARSON 2ND DEG,1,Y,20,Y,$0,"$15,000",,2ND ,2.0
99,53a-122,F,B,LARCENY 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
100,53a-129b,F,B,IDENTITY THEFT-1ST DEGREE,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
101,53a-134,F,B,ROBBERY 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
102,53a-134(a)(1),F,B,ROBBERY 1ST DEG-SERIOUS PHYSICAL INJRY,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
103,53a-134(a)(2),F,B,ROBBERY 1ST DEG-DEADLY WEAPON,5,Y,20,Y,$0,"$15,000",,1ST ,1.0
104,53a-134(a)(3),F,B,ROBBERY 1ST DEG-DANGEROUS INST,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
105,53a-134(a)(4),F,B,ROBBERY 1ST DEG-FIREARM THREAT,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
106,53a-174a,F,B,WEAPON-CORRECTIONS INSTITUTION,1,Y,20,Y,$0,"$15,000",,,
107,53a-179b,F,B,RIOT-CORRECTIONS INSTITUTION,1,Y,20,Y,$0,"$15,000",,,
108,53a-196b,F,B,PROMOTE MINOR-OBSCENE PRFRMNCE,1,Y,20,Y,$0,"$15,000",,,
109,53a-196c,F,B,IMPORTING CHILD PORNOGRAPHY,1,Y,20,Y,$0,"$15,000",,,
110,53a-196d,F,B,POSSESS CHILD PORN 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
111,53a-252,F,B,COMPUTER CRIME 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
112,53a-276,F,B,MONEY LAUNDERING 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
113,53a-291,F,B,VENDOR FRAUD 1ST DEG,1,Y,20,Y,$0,"$15,000",,1ST ,1.0
114,PA06-43,F,B,TRAFFICKING IN PERSONS,1,Y,20,Y,$0,"$15,000",,,
115,21a-277(a),F,U,SALE OF HALLUCINOGEN/NARCOTIC,0,Y,15,Y,$0,"$50,000",,,
116,21a-277(a),F,U,POSSESS W/INTENT TO SELL/DSPNS,0,Y,15,Y,$0,"$50,000",,,
117,21a-277(b),F,U,SALE CNTRL SUBSTANCE (SBS OFF),0,Y,15,Y,$0,"$100,000",SBS OFF,,
118,21a-277(b),F,U,POSSESS W/INTENT (SBS OFF),0,Y,15,Y,$0,"$100,000",SBS OFF,,
119,21a-279(a),F,U,POSSESS NARCOTICS (2ND OFF),0,Y,15,Y,$0,"$100,000",2ND OFF,,
120,22a-131a(d),F,U,VIO 22A-131A W/IMMINENT DANGER,0,Y,15,Y,$0,"$250,000",,,
121,12-308,F,U,FRAUDULENT CIGARETTE TAX STAMP,1,Y,10,Y,$0,"$5,000",,,
122,14-224(a),F,U,EVADE RESP-DEATH/SERIOUS INJRY,1,Y,10,Y,$0,"$10,000",,,
123,14-224(a),F,U,VIO 14-224(A)* - CSTR/UTL ZONE,1,Y,10,Y,$0,"$20,000",A,,
124,17b-90,F,C,VIO  PUBLIC ASSISTANCE REGS,1,Y,10,Y,$0,"$10,000",,,
125,17b-97(b),F,C,PUBLIC ASSISTANCE FRAUD <$2000,1,Y,10,Y,$0,"$10,000",,,
126,17b-97(d),F,C,FOOD STAMP FRAUD <$2000,1,Y,10,Y,$0,"$10,000",,,
127,17b-97(e),F,C,MISAPPROP FOOD STAMPS <$2000,1,Y,10,Y,$0,"$10,000",,,
128,17b-103,F,C,VENDOR REFUSE REFUND >$5000,1,Y,10,Y,$0,"$10,000",,,
129,17b-127(c),F,C,GENL ASSIST FRAUD-AWARD <$2000,1,Y,10,Y,$0,"$10,000",,,
130,17b-127,F,C,TOWN ASSISTANCE FRAUD >$5000,1,Y,10,Y,$0,"$10,000",,,
131,17b-340,F,C,AID PUB ASST FRAUD < $2000,1,Y,10,Y,$0,"$10,000",,,
132,19a-32d(b),F,U,ILL CLONING/USE HUMAN EMBRYO,0,Y,10,Y,$0,"$100,000",,,
133,21a-255(b),F,U,FAIL TO KEEP RECORDS W/INTENT (SBS),0,Y,10,Y,$0,"$10,000",SBS,,
134,21a-277(c),F,U,OPERATE DRUG FACTORY (SBS OFF),0,Y,10,Y,$0,"$10,000",SBS OFF,,
135,21a-279(b),F,U,POSS HALUCINOGEN/>4OZ MARIJUANA (SBS OFF),0,Y,10,Y,$0,"$5,000",SBS OFF,,
136,22a-131a(b),F,U,VIO PERMIT/ORDER REQS-HAZ WASTE (SBS),0,Y,10,Y,$0,"$100,000",SBS,,
137,22a-438(c),F,U,KNOWING VIO WATER POLLUTION REQS (SBS OFF),0,Y,10,Y,$0,"$100,000",SBS OFF,,
138,22a-438(e),F,U,ILL DISCHARGE GASOLINE (SBS),0,Y,10,Y,$0,"$100,000",SBS,,
139,29-320,F,U,VIO FLAMMABLE LIQUID REGS-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
140,29-322(a),F,U,ILL OPN FLAM LIQ VEH-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
141,29-322(b),F,U,FAIL TO REPORT LIQUID LEAK-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
142,29-331,F,U,VIO LIQUID GAS REGS-DEATH/INJURY,0,Y,10,Y,$0,"$10,000",,,
143,29-332(a),F,U,ILL OPN LIQ GAS VEH-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
144,29-332(b),F,U,FAIL REPORT LIQ GAS LEAK-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
145,29-337,F,U,VIO HAZARDOUS CHEM REG-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
146,29-337,F,U,VIO HAZARDOUS CHEM REG-MV-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
147,29-339,F,U,VIO HAZARDARDOUS CHEM REG-DEATH/INJ,0,Y,10,Y,$0,"$10,000",,,
148,29-348,F,U,POSSESSION OF EXPLOSIVES,0,Y,10,Y,$0,"$10,000",,,
149,29-349(b),F,U,USE EXPLOSIVES W/O PERMIT,0,Y,10,Y,$0,"$10,000",,,
150,29-349(c),F,U,STORE EXPLOSIVES W/O PERMIT,0,Y,10,Y,$0,"$10,000",,,
151,29-349(d),F,U,PROCURE/TRANSPORT EXPLOSIVES,0,Y,10,Y,$0,"$10,000",,,
152,29-357(b),F,U,VIO FIREWORKS PERMIT REQ-INJ/DEATH,1,Y,10,Y,$0,"$10,000",,,
153,31-290c,F,C,WORKERS' COMP FRAUD < $2000,1,Y,10,Y,$0,"$10,000",,,
154,33-1333(b)(1),F,U,CERTIFY FALSE FINANCE STATEMENT,0,Y,10,Y,$0,"$1,000,000",,,
155,36b-4,F,U,FRAUD IN SALE OF SECURITIES,0,Y,10,Y,$0,"$10,000",,,
156,36b-5,F,U,ILL ACT BY INVESTMENT ADVISER,0,Y,10,Y,$0,"$10,000",,,
157,36b-28(a),F,U,VIO UNIFORM SECURITIES ACT,0,Y,10,Y,$0,"$10,000",,,
158,36b-67(6),F,U,BUSINESS OPPRTNTY INVEST FRAUD,0,Y,10,Y,$0,"$25,000",,,
159,53-21,F,C,RISK OF INJURY TO CHILD,1,Y,10,Y,$0,"$10,000",,,
160,53-21(2),F,C,ILL SEXUAL CONTACT-VICTIM<AGE 16,1,Y,10,Y,$0,"$10,000",,,
161,53-21(a)(1),F,C,RISK OF INJURY TO CHILD,1,Y,10,Y,$0,"$10,000",,,
162,53-21(a)(3),F,C,BUYING OR SELLING CHILD<16 YRS,1,Y,10,Y,$0,"$10,000",,,
163,53-21a(c),F,C,UNSUPRV CHILD<12 BETW 8PM-6AM,1,Y,10,Y,$0,"$10,000",,,
164,53-37b,F,C,DEPRIVE RIGHTS-BODILY INJURY,1,Y,10,Y,$0,"$10,000",,,
165,53-202(c),F,U,USE MACHINE GUN-AGGRESSIVE PURPOSE,5,Y,10,Y,$0,"$1,000",,,
166,53-202b(a)(1),F,C,ILL SALE OF ASSAULT WEAPON,2,Y,10,Y,$0,"$10,000",,,
167,53-206b,F,C,ILL TRAINING OF WEAPONS USE,1,Y,10,Y,$0,"$10,000",,,
168,53-247(e),F,U,KILLING PEACE OFFICER ANIMAL,0,Y,10,Y,$0,"$10,000",,,
169,53-442,F,C,HEALTH INSURANCE FRAUD >$5000,1,Y,10,Y,$0,"$10,000",,,
170,53a-48,F,C,CONSPIRACY (FELONY-CLASS C),1,Y,10,Y,$0,"$10,000",FELONY-CLASS C,,
171,53a-56,F,C,MANSLAUGHTER 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
172,53a-56a,F,C,MANSLAUGHTER 2ND DEG-FIREARM,3,Y,10,Y,$0,"$10,000",,2ND ,2.0
173,53a-56b,F,C,MANSLAUGHTER 2ND DEG-MOTOR VEH,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
174,53a-71,F,C,SEXUAL ASSAULT 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
175,53a-71(a)(1),F,C,"SEX 2-VICTIM13-15,ACTOR>2Y OLDER",1,Y,10,Y,$0,"$10,000",,,
176,53a-71(a)(2),F,C,SEX 2-INABILITY TO CONSENT,1,Y,10,Y,$0,"$10,000",,,
177,53a-71(a)(3),F,C,SEX 2-PHYSICALLY HELPLESS,1,Y,10,Y,$0,"$10,000",,,
178,53a-71(a)(4),F,C,"SEX 2-VICTIM<18,ACTOR=GUARDIAN",1,Y,10,Y,$0,"$10,000",,,
179,53a-71(a)(5),F,C,SEX 2-ACTOR IN CHARGE OF VICTIM,1,Y,10,Y,$0,"$10,000",,,
180,53a-71(a)(6),F,C,SEX 2-ACTOR IS PSYCHOTHERAPIST,1,Y,10,Y,$0,"$10,000",,,
181,53a-71(a)(7),F,C,SEX 2-FALSE REP OF MED PURPOSE,1,Y,10,Y,$0,"$10,000",,,
182,53a-71(a)(8),F,C,"SEX 2-VICTIM=STUDENT,ACTR=EMPLYE",1,Y,10,Y,$0,"$10,000",,,
183,53a-71(a)(9),F,C,"SEX 2-VICTIM=STUDENT,ACTOR=COACH",1,Y,10,Y,$0,"$10,000",,,
184,53a-71(a(9(A),F,C,"SEX 2-V=STUDENT,ACTOR=COACH",1,Y,10,Y,$0,"$10,000",,,
185,53a-71(a)(10),F,C,"SEX 2-ACTOR IN POWER>19,VICTIM<18",1,Y,10,Y,$0,"$10,000",,,
186,53a-72a,F,C,"SEX ASSAULT 3RD, VICTIM<16",1,Y,10,Y,$0,"$10,000",,,
187,53a-72a(a)(1),F,C,"SEX 3-USE/THREAT OF FORCE,V<16",1,Y,10,Y,$0,"$10,000",,,
188,53a-72a(a)(2),F,C,"SEX 3-INTERCOURSE W/KIN,V<16",1,Y,10,Y,$0,"$10,000",,,
189,53a-72b,F,C,SEXUAL ASSAULT 3RD DEG-FIREARM,2,Y,10,Y,$0,"$10,000",,3RD ,3.0
190,53a-87,F,C,PROMOTING PROSTITUTION 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
191,53a-87(a)(2),F,C,PROMOTE PROSTITUTION 2-VICTIM<18,1,Y,10,Y,$0,"$10,000",,,
192,53a-90a,F,C,ENTICE A MINOR BY COMPUTER(2ND OFF),1,Y,10,Y,$0,"$10,000",2ND OFF,,
193,53a-102,F,C,BURGLARY 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
194,53a-102a,F,C,BURGLARY 2ND DEG-FIREARM,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
195,53a-113,F,C,ARSON 3RD DEG,1,Y,10,Y,$0,"$10,000",,3RD ,3.0
196,53a-123,F,C,LARCENY 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
197,53a-126a,F,C,CRIMINAL TROVER 1ST DEG (SBS OFF),1,Y,10,Y,$0,"$10,000",SBS OFF,1ST ,1.0
198,53a-129c,F,C,IDENTITY THEFT - 2ND DEGREE,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
199,53a-135,F,C,ROBBERY 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
200,53a-138,F,C,FORGERY 1ST DEG,1,Y,10,Y,$0,"$10,000",,1ST ,1.0
201,53a-147,F,C,BRIBERY,1,Y,10,Y,$0,"$10,000",,,
202,53a-148,F,C,BRIBE RECEIVING,1,Y,10,Y,$0,"$10,000",,,
203,53a-149,F,C,BRIBERY OF WITNESS,1,Y,10,Y,$0,"$10,000",,,
204,53a-150,F,C,BRIBE RECEIVING BY WITNESS,1,Y,10,Y,$0,"$10,000",,,
205,53a-151,F,C,TAMPERING-WITNESS,1,Y,10,Y,$0,"$10,000",,,
206,53a-151a,F,C,INTIMIDATION OF WITNESS,1,Y,10,Y,$0,"$10,000",,,
207,53a-152,F,C,BRIBERY OF JUROR,1,Y,10,Y,$0,"$10,000",,,
208,53a-153,F,C,BRIBE RECEIVING BY JUROR,1,Y,10,Y,$0,"$10,000",,,
209,53a-165aa,F,C,HINDERING PROSECUTION 1ST DEG,5,Y,10,Y,$0,"$10,000",,1ST ,1.0
210,53a-166,F,C,HINDERING PROSECUTION 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
211,53a-167c,F,C,ASSAULT-PUBLIC SAFETY/EMGY MED PERS,1,Y,10,Y,$0,"$10,000",,,
212,53a-167d,F,C,ASSAULT OF A PROSECUTOR,1,Y,10,Y,$0,"$10,000",,,
213,53a-169,F,C,ESCAPE 1ST DEG,1,Y,10,Y,$0,"$10,000",,1ST ,1.0
214,53a-171,F,C,ESCAPE FROM CUSTODY-FELONY CHARGE,1,Y,10,Y,$0,"$10,000",,,
215,53a-179a,F,C,INCITE INJURY-PERSON/PROPERTY,1,Y,10,Y,$0,"$10,000",,,
216,53a-179c,F,C,INCITE RIOT-CORRECTIONS INST,1,Y,10,Y,$0,"$10,000",,,
217,53a-180a,F,C,FALSE REPORT CAUSING INJ/DEATH,1,Y,10,Y,$0,"$10,000",,,
218,53a-181j,F,C,INTIMIDATE DUE TO BIAS 1ST DEG,1,Y,10,Y,$0,"$10,000",,1ST ,1.0
219,53a-196e,F,C,POSSESS CHILD PORN 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
220,53a-218,F,C,INTERFERENCE WITH CEMETERY,1,Y,10,Y,$0,"$10,000",,,
221,53a-253,F,C,COMPUTER CRIME 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
222,53a-277,F,C,MONEY LAUNDERING 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
223,53a-292,F,C,VENDOR FRAUD 2ND DEG,1,Y,10,Y,$0,"$10,000",,2ND ,2.0
224,53a-302,F,C,CRIMINAL MISREPRESENTATION,1,Y,10,Y,$0,"$10,000",,,
225,53a-303,F,C,CONTAM FOOD/WATER SUPPLY,5,Y,10,Y,$0,"$10,000",,,
226,53a-304,F,C,DAMAGE PUBLIC TRANSPORT/TERROR,1,Y,10,Y,$0,"$10,000",,,
227,53a-321,F,C,ABUSE OF PERSONS- 1ST DEGREE,1,Y,10,Y,$0,"$10,000",,1ST ,1.0
228,54-33d,F,U,INTERFERE WITH SEARCH-DEADLY WEAPON,0,Y,10,Y,$0,"$10,000",,,
229,54-41t,F,C,UNAUTH WIRETAP BY INVESTIGATOR,1,Y,10,Y,$0,"$10,000",,,
230,54-190,F,C,ESCAPE WHILE UNDER DETAINER,1,Y,10,Y,$0,"$10,000",,,
231,PA06-60(b),F,U,IL USE OF SCANNING DEVICE,1,Y,10,Y,$0,"$10,000",,,
232,PA06-60(c),F,U,IL USE OF REENCODER,1,Y,10,Y,$0,"$10,000",,,
